Note,Pedon,SiO2,TiO2,Fe2O3,Al2O3,MnO,CaO,MgO,K2O,Na2O,P2O5,MAP,MAT,USDA,Cat#,,
,1,71.3,0.745,3.785,9.965,0.02,0.64,0.37,3.43,0.565,0.08,1112,7.6,ept,1,,these temperatures are different than in NJT index a
,2,63.6,0.82,5.11,12.71,0.03,0.19,1.06,1.37,1.32,0.1,925,4.4,od,2,,
,3,75.33,0.94,3.41,10.42,0.05,0.84,0.71,2.2,1.76,0.06,786,5.4,alf,3,,
,4,72.58,0.65,3.44,11.52,0.04,1.87,0.82,1.43,3.01,0.23,697,3.8,alf,3,,
,5,65.02,0.76,5.34,16.63,0.18,1.03,1.66,2.48,1.2,0.17,666,4.1,alf,3,,
,6,66.3,0.62,6.38,15.44,0.08,1.68,1.66,2.51,1.28,0.14,566,3.1,alf,3,,
,7,67,0.97,5.4,15.05,0.01,0.36,0.51,1.58,0.8,0.035,1016,10.2,ept,1,,
,8,80.74,0.34,2.25,10.58,0.01,0.74,0.26,1.97,0.44,0.08,1104,13.7,ult,4,,
,9,81.05,0.59,3.21,9.13,0.03,0.2,0.4,1.65,0.49,0.02,1104,13.7,ult,4,,
,10,75.45,1.05,4.45,11.89,0.03,0.4,0.55,2.06,1.09,0.21,1070,13.7,ult,4,,
,11,91.64,0.29,1.43,3.83,0.01,0.22,0.42,0.61,0.16,0.01,1104,13.7,ult,4,,
,12,77.71,0.82,9.44,5.2,0.01,0.3,1.09,2.91,0.3,0.12,965,13.6,ult,4,,
,13,87.24,0.5,1.28,7.1,0.01,0.19,0.33,0.36,0.56,0.36,1102,12.4,ult,4,,
,14,75.2,0.36,13.46,5.015,0.01,0.46,0.4,1.14,0.38,0.34,1099,11.6,ult,4,,
,15,62.2,1.11,7.345,18.56,0.04,0.22,0.99,0.27,1.01,0.09,1060,13.1,ult,4,,
,16,50.36,1.21,12.82,23.61,0.03,0.16,0.37,1.13,0.08,0.14,1035,13.3,ult,4,,
,17,86.3,1.19,3.08,5.87,0.02,0.38,0.53,0.84,0.465,0.085,1058,13.3,ult,4,,
,18,69.4,1.14,8.27,13.13,0.31,0.18,0.54,0.82,0.04,0.13,1286,15.3,alf,4,,
,19,74.91,1.41,4.39,12.13,0.31,0.48,0.46,1.51,0.32,0.36,1431,15,alf,4,,
,20,76.32,0.66,4.12,11.23,0.08,0.59,0.93,2.25,1.02,0.07,754,8.4,alf,4,,
,21,74.79,0.72,3.32,11.09,0.06,1.11,0.85,2.6,1.14,0.15,1112,7.6,ept,1,,
,22,69.17,0.89,4.41,12.85,0.06,1.4,0.77,1.11,2.59,0.39,1146,9.4,ept,1,,
,23,60.7,0.63,5.76,14.4,0.11,0.14,1.59,2.51,1.18,0.105,1009,11,alf,3,,
,24,72.6,0.59,5.415,12.57,0.04,0.62,0.92,2.35,1.065,0.045,998,10.2,alf,3,,
,25,59.37,0.77,7.08,14.81,0.07,2.92,2.56,2.48,0.83,0.15,940,10.8,alf,3,,
,26,72.31,0.69,4.57,12.86,0.1,1.11,1.03,2.03,0.96,0.09,1019,11.4,alf,3,,
,27,70.4,0.64,5.145,13.33,0.08,1.38,1.35,0.955,0.955,0.115,998,10.2,alf,3,,
,28,65.25,0.68,6.2,16.22,0.15,1.09,1.68,2.7,1.31,0.07,1009,11,alf,3,,
,29,74.39,0.59,4.54,12.24,0.12,0.67,1.03,2.03,1.23,0.1,896,10.7,alf,3,,
,30,74.9,0.98,4.91,11.75,0.02,0.57,0.68,2.09,0.925,0.09,1204,14.1,alf,3,,
,31,77.04,0.72,4.15,10.73,0.09,0.43,0.73,1.58,1.07,0.19,1055,12.2,alf,3,,
,32,72.8,1.15,6.045,11.08,0.3,0.71,0.76,1.73,0.535,0.635,1108,12.6,alf,3,,
,33,65.88,0.71,5.4,14.42,0.05,1.59,1.53,2.68,0.71,0.33,950,10.7,oll,3,,
,34,73.92,0.4,4.31,12.28,0.09,1.32,1.01,2.25,1.11,0.15,1019,11.4,alf,3,,
,35,84.1,0.96,2.21,7.83,0.05,0.43,0.8,1.16,0.925,0.115,1019,11.4,alf,3,,
,36,75.8,0.92,5.83,10.22,0.07,0.33,0.79,2.04,0.83,0.215,893,11.4,alf,3,,
,37,85.69,1.06,2.67,7.62,0.005,0.31,0.07,0.4,0.21,0.01,1148,13.8,ult,4,,
,38,84.32,1.06,2.62,8.27,0.001,0.17,0.18,0.16,0.2,0.01,1235,16,ult,4,,
,39,94.85,0.34,1.11,2.02,0.01,0.1,0.11,0.25,0.001,0.01,1211,18,ult,4,,
,40,71.78,1.31,5.35,13.73,0.01,0.001,0.26,0.35,1.67,0.08,1225,15.9,ult,4,,
,41,66.3,1.11,5.12,18.46,0.01,0.31,0.32,0.23,0.001,0.195,1235,16,ult,4,,
,42,67.5,1.44,5.155,17.33,0.03,0.05,0.04,0.25,0.12,0.025,1235,16,ult,4,,
,43,81.7,0.59,3.6,9.85,0.01,0.48,0.08,0.18,0.31,0.055,1257,18.9,ult,4,,
,44,89.49,0.51,1.65,5.53,0.004,0.07,0.001,0.17,0.08,0.03,1257,18.9,ult,4,,
,45,72.5,0.54,8.72,11.84,0.001,0.22,0.13,0.04,0.04,0.09,1291,19.3,ult,4,,
,46,83.6,0.58,1.155,10.32,0.01,0.001,0.001,0.11,0.18,0.01,1347,18.7,ult,4,,
,47,64.3,1.11,5.59,21.1,0.004,0.19,0.11,0.43,0.395,0.135,1366,18.9,ult,4,,
,48,52.04,1.34,9.92,25.24,0.001,0.001,0.13,0.55,0.32,0.16,1158,19.5,ult,4,,
,49,77.88,0.71,7.01,9.46,0.001,0.28,0.12,0.04,0.16,0.03,1291,19.3,ult,4,,
,50,78.2,0.66,3.77,12.02,0.01,0.37,0.16,0.18,0.27,0.055,1291,19.3,ult,4,,
